# objID                 ra                   dec                  z             rp                   dV                   Mr                    gr                    C           dn4000      logSSFR       logSM       
  1237667783373815894   190.36509242025133   22.93077982861949    0.035670865   17.26313891690042    3771.2595981359486   -20.668733995090065   0.4301385027959519    2.1917648   1.337758    -9.822911     9.939624    
  1237667783914684423   200.29327450857346   22.691551278673664   0.031448953   16.695315905655725   2504.6858561038975   -21.08690946816583    0.7010758296076993    2.8515496   1.293469    -9.765995     10.571441   
  1237667910060867716   196.25274943634537   23.49141297002381    0.034404837   11.831493435744028   3391.450978517533    -20.35240821291448    0.7083040696870277    2.8152108   1.7430892   -11.745109    10.202046   
  1237668273507663949   199.06978528401143   20.5682888292296     0.022718353   14.026255439924718   114.49404090642899   -18.288184026483297   0.4734471630223567    2.2428148   1.2137398   -10.00625     8.993817    
  1237668298205823173   189.23873649105698   20.109205846179133   0.031253077   21.881860869576528   2445.9231269359593   -18.529408642618197   0.4094707291254238    2.2638974   1.3398062   -10.043061    8.957292    
  1237665440440057995   189.6985090182579    28.84174249870189    0.024183948   8.445872838421682    325.184277892113     -18.505414234744876   0.38744817981047674   1.965976    1.3777486   -9.744792     9.017021    
  1237665440440057995   189.6985090182579    28.84174249870189    0.024157437   8.436684457027182    317.23096936941175   -18.502976447421286   0.38744141160526624   1.965976    1.3283008   -9.760278     9.016057    
  1237665440445300946   203.1749816390872    27.650531244320984   0.025711175   13.89582998676521    783.352516293526     -18.071526229992628   0.4736846270224824    2.007724    1.3561883   -10.112664    8.840116    
  1237665440982433978   203.93767144394113   27.867617944537297   0.027022246   15.922305043403112   1176.6738814115527   -20.66855335263697    0.7821425668588873    2.3977876   1.3069539   -10.537204    10.501485   
  1237665441518452809   201.73338492856297   28.560917507423504   0.023530772   10.48914738348766    129.23158675432234   -18.962868457893514   0.4160580010635364    2.07249     1.132934    -9.799999     9.125023    
  1237665428629422238   202.2005817980542    28.85686702810832    0.03614016    17.228916475517565   3912.0476317405705   -19.877527314483164   0.6110551042351986    2.7417636   1.2981126   -9.953439     10.0309725  
  1237665443129655475   203.56685969127577   29.67406638362737    0.03678289    21.073979923534065   4104.867167472839    -18.904572215866285   0.4293665999257392    2.0001273   1.1817025   -9.847541     9.220633    
  1237665443129852026   204.09249394160145   29.563077843761842   0.038512994   23.291682097481843   4623.8980811834335   -19.435665438406044   0.35614496781798977   2.300741    1.1695755   -9.534106     9.336365    
  1237667323258667212   189.31392993698412   27.533268805548317   0.024423672   9.089686547966538    397.10156589746504   -18.395670061930605   0.39462839087503454   2.0817993   1.4251516   -9.947688     8.701985    
  1237667255628136575   189.54610541396227   31.07730067748172    0.037075385   15.469345694856683   4192.61563539505     -18.739395818574057   0.6861035770913553    2.6284823   1.7039245   -11.745544    9.515741    
  1237667323795472613   189.13510602505636   28.028715505105325   0.025494466   9.725018730589344    718.3396813273433    -18.74402031069675    0.41393533702591867   1.8912235   1.2357439   -10.085484    9.111543    
  1237667441899339836   190.07003327372365   26.473772392495178   0.02191165    7.48697105278557     356.5047311782834    -18.23697281446129    0.44350107356828516   2.1788118   1.2175615   -9.978664     8.983817    
  1237667444046757897   189.93126863710512   28.196794482942177   0.031073049   10.22171067481007    2391.914613246918    -20.290224204221563   0.6877443836913599    3.0974555   1.7553108   -11.535651    10.164804   
  1237667253481504910   191.69282126412043   29.388587664705888   0.031787124   7.514257543181416    2606.1370593309407   -19.254681743662438   0.3733506736337979    2.8209147   1.2124553   -9.750116     9.285471    
  1237667322185121876   189.8213633743464    26.677772445000517   0.022001851   7.755368123603303    329.4445949792859    -20.701429716862336   0.8081602259072618    3.4661186   1.9873917   -11.982022    10.512718   
  1237667322721403027   188.18474593811078   27.04965433426924    0.033650063   15.15159926004303    3165.0188934803014   -19.8359579990429     0.6580704023539532    2.325354    1.3529027   -10.077788    10.0678835  
  1237667442972491835   188.57142306041055   27.45231074344144    0.022899058   9.655948280471637    60.2826851606366     -19.92561031074668    0.7868274992743913    3.3881729   0.0         -10.610445    10.32927    
  1237667322184794216   188.91876931017495   26.64294811516577    0.020000614   8.22305342247146     929.8157322406765    -20.12005823843713    0.748455032276194     2.6950672   2.0658612   -12.31134     10.266614   
  1237667322721403083   188.28745804707802   27.09437673950728    0.03336408    14.781272305392251   3079.223967790604    -20.755785214116226   0.7101203894819363    2.3552117   1.5562328   -10.580357    10.472299   
  1237667442972360891   188.3338438514857    27.45054904563139    0.023111345   10.104705785246546   3.4035739302638173   -18.078001712623525   0.6783214873182146    2.2403953   1.4881858   -10.454286    9.324632    
  1237667442973278255   190.69665817898118   27.2719272831719     0.019672396   5.616690888646327    1028.2813015580175   -19.857744046849472   0.8050196350767962    2.9439902   1.526643    -10.463856    10.333433   
  1237667442973016245   189.98175693956418   27.41063744305355    0.026272943   8.657663257449686    951.8829730153087    -18.15683259453815    0.3859511832686593    2.0846848   1.191916    -9.539537     8.7640085   
  1237664673789378666   194.706031639743     37.538338618914246   0.034417942   24.389578831468075   3395.3826498985295   -19.616400855420682   0.7030428922873355    2.6626036   1.6563857   -11.736875    9.905701    
  1237664673252638738   194.9959512220346    37.187021750957335   0.035855692   24.463654350083818   3826.7075639963155   -18.366112129192306   0.9675793162969732    3.9182248   1.988707    -9.825221     10.343135   
  1237664817680875603   194.35588193367732   36.09659366800909    0.035328623   21.291695506479396   3668.58687222004     -20.24094489510624    0.7272927725026861    2.901551    1.7940457   -12.22        10.214575   
